kanji,hiragana,meaning
長男,ちょうなん,Eldest Son
長女,ちょうじょ,Eldest Daughter
末っ子,すえっこ,Youngest Child
一人っ子,ひとりっこ,Only Child
いとこ,いとこ,Cousin
孫,まご,Grandchild
そっくり,そっくり,Close Resemblance
双子,ふたご,Twins
親戚,しんせき,Relative
仲,なか,Relationship/Relations
夫婦,ふうふ,Married Couple
親友,しんゆう,Close Friend/Best Friend
親しい,したしい,Close/Intimate
友人,ゆうじん,Friend
恋人,こいびと,Lover
仲間,なかま,Colleague/Friend/Companion
相手,あいて,Partner/Rival
知り合い,しりあい,Acquaintance
性格,せいかく,Personal Character
子供っぽい,こどもっぽい,Childish
男っぽい,おとこっぽい,Manly
大人しい,おとなしい,Meek/Compliant
だらしない,だらしない,Sloppy/Lax
意地悪,いじわる,Spiteful/Ill-natured/Spite
素直,すなお,Accomodating/Unprotesting
正直,しょうじき,Honest/Frank
乱暴,らんぼう,Rough/Rude/Violent
わがまま,わがまま,Selfish
積極的,せっきょくてき,Positive
落ち着いた,おちついた,Calm/Composed
きちんとした,きちんとした,Neat/Respectable
思いやり,おもいやり,Considerateness/Thoughtfulness
ユーモア,ユーモア,Sense Of Humor
勇気,ゆうき,Courage
冗談,じょうだん,Joke
自慢,じまん,Act Or Speak Boastfully
独身,どくしん,Unmarried
出会う,であう,Meet
知り合う,しりあう,Get To Know
付き合う,つきあう,Associate With/Go With
恋,こい,Love
デート,デート,Date
誘う,さそう,Invite
断る,ことわる,Refuse/Turn Down
付き合い,つきあい,Relations/(Romatic) Relationship
愛,あい,Love
感じる,かんじる,Feel/Sense
破る,やぶる,Break
守る,まもる,Keep/Comply With
疑う,うたがう,Doubt/Suspect
許す,ゆるす,Allow/Forgive/Condone
たたく,たたく,Hit/Strike
態度,たいど,Attitude
振られる,ふられる,Be Rejected/Be Cold Shouldered
離婚,りこん,Divorce
