kanji,hiragana,meaning
間,あいだ,Between
青,あお,Blue
味,あじ,Taste
穴,あな,Hole
油,あぶら,Oil
案,あん,Plan
胃,い,Stomach
家,いえ/うち,Home
息,いき,Breath
池,いけ,Pond
糸,いと,Thread
芋,いも,Potato
歌,うた,Song
内,うち,Inside
器,うつわ,Container
腕,うで,Arm
絵,え,Paint
枝,えだ,Branch
奥,おく,Inner Part/At The Back
音,おと,Sound
帯,おび,Belt
表,おもて/ひょう,Outside/Form/Chart
親,おや,Parent
貝,かい,Shell
顔,かお,Face
傘,かさ,Umbrella
数,かず,Number
肩,かた,Shoulder
方,かた/ほう,Person/Side
形,かたち,Form
角,かど,Corner
壁,かべ,Wall
紙,かみ,Paper
髪,かみ,Hair
空,から/そら,Sky
体,からだ,Body
皮,かわ,Skin
缶,かん,Can
柄,がら,Pattern
黄,き,Yellow
傷,きず,Scratch
君,きみ,You
曲,きょく,Song
逆,ぎゃく,Opposite
草,くさ,Grass
薬,くすり,Medicine
靴,くつ,Shoes
首,くび,Neck
雲,くも,Cloud
煙,けむり,Smoke
県,けん,Prefecture
腰,こし,Lower-Back
粉,こな,Powder
差,さ,Difference
坂,さか,Slope
桜,さくら,Cherry Blossom
皿,さら,Plate
猿,さる,Ape
塩,しお,Salt
島,しま,Island
城,しろ,Castle
実,じつ/み,Truth/Fruit
酢,す,Vinegar
隅,すみ,Corner
図,ず,Chart/Graphic
席,せき,Seat
咳,せき,Cough
線,せん,Line
底,そこ,Bottom
側,そば,Side
像,ぞう,Statue/Image
他,た/他,Others
畳,たたみ,Japanese Style Straw Mats
棚,たな,Shelf
旅,たび,Trip
卵,たまご,Egg
台,だい,Board
茶,ちゃ,Tea
机,つくえ,Coffee Table
妻,つま,Wife
寺,てら,Temple
点,てん,Point
鳥,とり,Bird
毒,どく,Poison
謎,なぞ,Mystery
鍋,なべ,Pot
波,なみ,Wave
涙,なみだ,Tear
庭,にわ,Garden
熱,ねつ,Fever
葉,は,Leaf
歯,は,Teeth
箱,はこ,Box
橋,はし,Bridge
箸,はし,Chopstick
畑,はたけ,Field
鼻,はな,Nose
針,はり,Needle
倍,ばい,Double/Number Times
晩,ばん,Night
